CustomerID,LastInvoiceDate,Frequency,Monetary,Recency,rule_code,rule_label,R_Quartile,F_Quartile,M_Quartile,RFMScore,TotalScore,kmeans_cluster,dbscan_cluster,recency_weight,frequency_multiplier,estimated_ltv,estimated_ltv_rank_pct,value_tier
12346,2011-01-18 10:01:00,1,77183.6,325.0,101,Promising,4,4,1,441,9,0,-1,0.28607085826493384,1.6931471805599454,37384.6536759177,0.9787920700783771,High Value
12347,2011-12-07 15:52:00,7,4310.0,1.0,011,High Value,1,1,1,111,3,1,0,0.9961565872205752,3.0794415416798357,13221.381759598773,0.9230059935454127,High Value
12348,2011-09-25 13:13:00,4,1797.24,74.0,000,New/Low Activity,3,2,1,321,6,1,0,0.7520439537809918,2.6094379124341005,3526.925351530041,0.7374366067312126,High Value
12349,2011-11-21 09:51:00,1,1757.55,18.0,000,New/Low Activity,2,4,1,241,7,1,0,0.9330329915368074,1.6931471805599454,2776.5110176837984,0.6977869986168741,High Value
12350,2011-02-02 16:01:00,1,334.4,309.0,100,Hibernating,4,4,3,443,11,0,0,0.3042508784176478,1.6931471805599454,172.26332327668314,0.13393268787459658,Low Value
12352,2011-11-03 14:37:00,8,2506.04,35.0,011,High Value,2,1,1,211,4,1,0,0.873909357689527,3.1972245773362196,7002.087462162348,0.8529276164130936,High Value
12353,2011-05-19 17:47:00,1,89.0,203.0,100,Hibernating,4,4,4,444,12,0,0,0.4576200670930952,1.6931471805599454,68.95881324660313,0.03296449976947902,Low Value
12354,2011-04-21 13:11:00,1,1079.4,231.0,100,Hibernating,4,4,2,442,10,0,0,0.4108451572928951,1.6931471805599454,750.8536525027162,0.4211618257261411,Mid Value
12355,2011-05-09 13:49:00,1,459.4,213.0,100,Hibernating,4,4,3,443,11,0,0,0.4403329367980742,1.6931471805599454,342.50496732350797,0.25864453665283543,Low Value
12356,2011-11-17 08:40:00,3,2811.43,22.0,001,At Risk - High Value,2,2,1,221,5,1,0,0.9187713517408406,2.386294361119891,6163.944713468665,0.830567081604426,High Value
12357,2011-11-06 16:07:00,1,6207.67,32.0,001,At Risk - High Value,2,4,1,241,7,1,-1,0.8840636953004919,1.6931471805599454,9291.950548567827,0.8893499308437067,High Value
12358,2011-12-08 10:26:00,2,1168.06,1.0,000,New/Low Activity,1,3,2,132,6,1,0,0.9961565872205752,2.09861228866811,2441.8836926697436,0.6698939603503918,High Value
12359,2011-10-13 12:47:00,4,6372.58,57.0,001,At Risk - High Value,3,2,1,321,6,1,-1,0.8029228818633765,2.6094379124341005,13351.685651102482,0.9241585984324574,High Value
12360,2011-10-18 15:22:00,3,2662.06,51.0,001,At Risk - High Value,3,2,1,321,6,1,0,0.8216903145857903,2.386294361119891,5219.7538426189385,0.8035961272475796,High Value
12361,2011-02-25 13:51:00,1,189.9,286.0,100,Hibernating,4,4,4,444,12,0,0,0.33242737840400793,1.6931471805599454,106.88492606443066,0.07030889810972799,Low Value
12362,2011-12-06 15:40:00,10,5226.23,2.0,011,High Value,1,1,1,111,3,1,0,0.9923279462629435,3.3978952727983707,17621.94048335752,0.9451360073766712,High Value
12363,2011-08-22 10:18:00,2,552.0,109.0,100,Hibernating,3,3,3,333,9,1,0,0.6572182486030388,2.09861228866811,761.3439536561091,0.425541724296911,Mid Value
12364,2011-12-02 10:22:00,4,1313.1,7.0,000,New/Low Activity,1,2,2,122,5,1,0,0.9734043393240235,2.6094379124341005,3335.3241435597624,0.7275242047026279,High Value
12365,2011-02-21 14:04:00,2,641.38,290.0,100,Hibernating,4,3,3,433,10,0,0,0.3273461437937434,2.09861228866811,440.61051185196635,0.3063623789764869,Low Value
12367,2011-12-05 16:48:00,1,168.9,3.0,000,New/Low Activity,1,4,4,144,9,1,0,0.9885140203528962,1.6931471805599454,282.6878838066071,0.21968649147072383,Low Value
12370,2011-10-19 14:51:00,4,3545.69,50.0,001,At Risk - High Value,2,2,1,221,5,1,0,0.8248605943353025,2.6094379124341005,7631.822960020095,0.863762102351314,High Value
12371,2011-10-26 10:16:00,2,1887.96,44.0,000,New/Low Activity,2,3,1,231,6,1,0,0.8441407967796914,2.09861228866811,3344.5669220632703,0.7286768095896726,High Value
