CustomerID,LastInvoiceDate,Frequency,Monetary,Recency,rule_code,rule_label,R_Quartile,F_Quartile,M_Quartile,RFMScore,TotalScore,kmeans_cluster,dbscan_cluster
12346,2011-01-18 10:01:00,1,77183.6,325.0,101,Promising,4,4,1,441,9,0,-1
12347,2011-12-07 15:52:00,7,4310.0,1.0,011,High Value,1,1,1,111,3,1,0
12348,2011-09-25 13:13:00,4,1797.24,74.0,000,New/Low Activity,3,2,1,321,6,1,0
12349,2011-11-21 09:51:00,1,1757.55,18.0,000,New/Low Activity,2,4,1,241,7,1,0
12350,2011-02-02 16:01:00,1,334.4,309.0,100,Hibernating,4,4,3,443,11,0,0
12352,2011-11-03 14:37:00,8,2506.04,35.0,011,High Value,2,1,1,211,4,1,0
12353,2011-05-19 17:47:00,1,89.0,203.0,100,Hibernating,4,4,4,444,12,0,0
12354,2011-04-21 13:11:00,1,1079.4,231.0,100,Hibernating,4,4,2,442,10,0,0
12355,2011-05-09 13:49:00,1,459.4,213.0,100,Hibernating,4,4,3,443,11,0,0
12356,2011-11-17 08:40:00,3,2811.43,22.0,001,At Risk - High Value,2,2,1,221,5,1,0
12357,2011-11-06 16:07:00,1,6207.67,32.0,001,At Risk - High Value,2,4,1,241,7,1,-1
12358,2011-12-08 10:26:00,2,1168.06,1.0,000,New/Low Activity,1,3,2,132,6,1,0
12359,2011-10-13 12:47:00,4,6372.58,57.0,001,At Risk - High Value,3,2,1,321,6,1,-1
12360,2011-10-18 15:22:00,3,2662.06,51.0,001,At Risk - High Value,3,2,1,321,6,1,0
12361,2011-02-25 13:51:00,1,189.9,286.0,100,Hibernating,4,4,4,444,12,0,0
12362,2011-12-06 15:40:00,10,5226.23,2.0,011,High Value,1,1,1,111,3,1,0
12363,2011-08-22 10:18:00,2,552.0,109.0,100,Hibernating,3,3,3,333,9,1,0
12364,2011-12-02 10:22:00,4,1313.1,7.0,000,New/Low Activity,1,2,2,122,5,1,0
12365,2011-02-21 14:04:00,2,641.38,290.0,100,Hibernating,4,3,3,433,10,0,0
12367,2011-12-05 16:48:00,1,168.9,3.0,000,New/Low Activity,1,4,4,144,9,1,0
12370,2011-10-19 14:51:00,4,3545.69,50.0,001,At Risk - High Value,2,2,1,221,5,1,0
12371,2011-10-26 10:16:00,2,1887.96,44.0,000,New/Low Activity,2,3,1,231,6,1,0
12372,2011-09-29 12:12:00,3,1298.04,71.0,000,New/Low Activity,3,2,2,322,7,1,0
12373,2011-02-01 13:10:00,1,364.6,310.0,100,Hibernating,4,4,3,443,11,0,0
12374,2011-11-14 15:37:00,1,742.9300000000001,24.0,000,New/Low Activity,2,4,2,242,8,1,0
12375,2011-11-29 10:36:00,2,457.5,10.0,000,New/Low Activity,1,3,3,133,7,1,0
12377,2011-01-28 15:45:00,2,1628.12,314.0,100,Hibernating,4,3,2,432,9,0,0
12378,2011-08-02 10:34:00,1,4008.62,129.0,101,Promising,3,4,1,341,8,1,-1
12379,2011-09-19 10:09:00,2,852.24,81.0,000,New/Low Activity,3,3,2,332,8,1,0
12380,2011-11-18 11:27:00,4,2724.81,21.0,001,At Risk - High Value,2,2,1,221,5,1,0
12381,2011-12-05 12:44:00,5,1845.31,4.0,010,Regular,1,2,1,121,4,1,0
12383,2011-06-08 08:02:00,5,1850.56,184.0,110,Potential Loyalist,4,2,1,421,7,0,0
12384,2011-11-11 08:39:00,2,585.27,28.0,000,New/Low Activity,2,3,3,233,8,1,0
12386,2011-01-06 12:37:00,2,401.9,337.0,100,Hibernating,4,3,3,433,10,0,0
12388,2011-11-24 12:30:00,6,2780.66,15.0,011,High Value,1,1,1,111,3,1,0
12390,2011-09-21 09:33:00,1,549.84,79.0,000,New/Low Activity,3,4,3,343,10,1,0
12391,2011-11-18 12:07:00,1,460.89,21.0,000,New/Low Activity,2,4,3,243,9,1,0
12393,2011-09-28 15:41:00,4,1582.6000000000001,71.0,000,New/Low Activity,3,2,2,322,7,1,0
12394,2011-10-07 08:08:00,2,1272.48,63.0,000,New/Low Activity,3,3,2,332,8,1,0
12395,2011-11-20 15:21:00,12,3018.63,18.0,011,High Value,2,1,1,211,4,1,0
12397,2011-11-04 09:52:00,2,2409.9,35.0,001,At Risk - High Value,2,3,1,231,6,1,0
12398,2011-10-25 10:27:00,1,1635.6599999999999,45.0,000,New/Low Activity,2,4,2,242,8,1,0
12399,2011-08-12 13:15:00,4,1108.65,118.0,100,Hibernating,3,2,2,322,7,1,0
12401,2011-02-09 13:50:00,1,84.3,302.0,100,Hibernating,4,4,4,444,12,0,0
12402,2011-01-20 13:49:00,1,225.6,322.0,100,Hibernating,4,4,4,444,12,0,0
12403,2011-10-21 10:51:00,1,427.7,49.0,000,New/Low Activity,2,4,3,243,9,1,0
12405,2011-07-14 08:52:00,1,1710.39,148.0,100,Hibernating,4,4,1,441,9,0,0
12406,2011-11-17 19:22:00,2,3415.3,21.0,001,At Risk - High Value,2,3,1,231,6,1,0
12407,2011-10-21 10:11:00,5,1708.1200000000001,49.0,010,Regular,2,2,1,221,5,1,0
12408,2011-11-07 12:27:00,5,2888.55,32.0,011,High Value,2,2,1,221,5,1,0
12409,2011-09-22 10:38:00,3,11072.67,78.0,001,At Risk - High Value,3,2,1,321,6,1,-1
12410,2011-02-04 10:39:00,2,693.3299999999999,308.0,100,Hibernating,4,3,2,432,9,0,0
12412,2011-09-26 10:16:00,3,1226.88,74.0,000,New/Low Activity,3,2,2,322,7,1,0
12413,2011-10-04 09:00:00,3,758.1,66.0,000,New/Low Activity,3,2,2,322,7,1,0
12414,2011-05-06 14:51:00,3,562.41,216.0,100,Hibernating,4,2,3,423,9,0,0
12415,2011-11-15 14:22:00,21,124914.53,23.0,011,High Value,2,1,1,211,4,2,-1
12417,2011-12-06 14:52:00,9,3649.1,2.0,011,High Value,1,1,1,111,3,1,0
12418,2011-08-19 11:08:00,1,668.58,112.0,100,Hibernating,3,4,3,343,10,1,0
12420,2011-10-07 08:55:00,1,600.39,63.0,000,New/Low Activity,3,4,3,343,10,1,0
12421,2011-11-24 09:07:00,4,807.04,15.0,000,New/Low Activity,1,2,2,122,5,1,0
12422,2011-09-05 09:48:00,3,803.5600000000001,95.0,100,Hibernating,3,2,2,322,7,1,0
12423,2011-12-09 10:10:00,8,1859.31,0.0,010,Regular,1,1,1,111,3,1,0
12424,2011-06-30 12:06:00,2,1760.96,162.0,100,Hibernating,4,3,1,431,8,0,0
12425,2011-09-22 17:31:00,1,777.2,77.0,000,New/Low Activity,3,4,2,342,9,1,0
12426,2011-05-29 12:26:00,1,582.73,194.0,100,Hibernating,4,4,3,443,11,0,0
12427,2011-11-18 08:56:00,3,825.8,21.0,000,New/Low Activity,2,2,2,222,6,1,0
12428,2011-11-14 08:22:00,9,7956.46,25.0,011,High Value,2,1,1,211,4,1,0
12429,2011-11-30 17:22:00,4,3750.4,8.0,001,At Risk - High Value,1,2,1,121,4,1,0
12430,2011-10-27 15:09:00,1,256.4,42.0,000,New/Low Activity,2,4,4,244,10,1,0
12431,2011-11-04 11:55:00,15,6487.45,35.0,011,High Value,2,1,1,211,4,1,0
12432,2011-10-28 11:43:00,5,5059.32,42.0,011,High Value,2,2,1,221,5,1,0
12433,2011-12-09 10:02:00,7,13375.87,0.0,011,High Value,1,1,1,111,3,1,-1
12434,2011-09-16 12:38:00,2,806.14,84.0,000,New/Low Activity,3,3,2,332,8,1,0
12435,2011-09-21 09:06:00,2,7829.89,79.0,001,At Risk - High Value,3,3,1,331,7,1,-1
12436,2011-09-01 12:09:00,1,509.01,99.0,100,Hibernating,3,4,3,343,10,1,0
12437,2011-12-08 11:35:00,18,4951.41,1.0,011,High Value,1,1,1,111,3,1,0
12438,2011-11-25 13:28:00,2,2906.85,13.0,001,At Risk - High Value,1,3,1,131,5,1,0
12441,2010-12-08 10:45:00,1,173.55,366.0,100,Hibernating,4,4,4,444,12,0,0
12442,2011-12-06 14:22:00,1,172.06,2.0,000,New/Low Activity,1,4,4,144,9,1,0
12444,2011-11-18 13:23:00,5,5005.46,20.0,011,High Value,2,2,1,221,5,1,0
12445,2011-11-17 18:43:00,1,133.4,21.0,000,New/Low Activity,2,4,4,244,10,1,0
12446,2011-10-13 12:50:00,1,1002.3100000000001,57.0,000,New/Low Activity,3,4,2,342,9,1,0
12447,2011-04-10 13:25:00,1,476.49,242.0,100,Hibernating,4,4,3,443,11,0,0
12448,2011-10-26 13:46:00,1,449.45,43.0,000,New/Low Activity,2,4,3,243,9,1,0
12449,2011-11-17 13:46:00,4,4067.29,21.0,001,At Risk - High Value,2,2,1,221,5,1,0
12450,2011-07-06 14:41:00,2,197.88,155.0,100,Hibernating,4,3,4,434,11,0,0
12451,2011-11-29 08:40:00,5,9035.52,10.0,011,High Value,1,2,1,121,4,1,-1
12452,2011-11-23 10:28:00,2,430.57,16.0,000,New/Low Activity,1,3,3,133,7,1,0
12453,2011-07-28 14:08:00,1,707.09,133.0,100,Hibernating,3,4,2,342,9,1,0
12454,2011-10-14 17:13:00,1,3528.34,55.0,001,At Risk - High Value,3,4,1,341,8,1,0
12455,2011-09-27 15:31:00,6,2466.86,72.0,011,High Value,3,1,1,311,5,1,0
12456,2011-10-26 14:41:00,3,3181.04,43.0,001,At Risk - High Value,2,2,1,221,5,1,0
12457,2011-10-04 13:13:00,7,2363.23,65.0,011,High Value,3,1,1,311,5,1,0
12458,2011-09-29 15:25:00,2,947.4,70.0,000,New/Low Activity,3,3,2,332,8,1,0
12461,2011-09-06 16:57:00,2,826.88,93.0,100,Hibernating,3,3,2,332,8,1,0
12462,2011-11-21 09:11:00,2,1189.59,18.0,000,New/Low Activity,2,3,2,232,7,1,0
12463,2011-10-17 13:44:00,4,1344.78,52.0,000,New/Low Activity,3,2,2,322,7,1,0
12464,2011-11-29 13:33:00,8,1212.05,9.0,010,Regular,1,1,2,112,4,1,0
12465,2011-11-22 16:34:00,2,742.1899999999999,16.0,000,New/Low Activity,1,3,2,132,6,1,0
12468,2011-06-05 11:36:00,2,729.5400000000001,187.0,100,Hibernating,4,3,2,432,9,0,0
12471,2011-12-07 15:43:00,30,19824.05,1.0,011,High Value,1,1,1,111,3,1,-1
12472,2011-11-07 14:01:00,7,6572.11,31.0,011,High Value,2,1,1,211,4,1,0
12473,2011-11-10 13:46:00,5,3938.5499999999997,28.0,011,High Value,2,2,1,221,5,1,0
12474,2011-11-22 14:39:00,18,7375.79,16.0,011,High Value,1,1,1,111,3,1,0
12475,2011-10-17 10:10:00,1,723.38,53.0,000,New/Low Activity,3,4,2,342,9,1,0
12476,2011-11-24 12:40:00,11,6816.42,15.0,011,High Value,1,1,1,111,3,1,0
12477,2011-11-17 09:51:00,6,13219.74,22.0,011,High Value,2,1,1,211,4,1,-1
12478,2011-12-06 09:56:00,1,680.99,3.0,000,New/Low Activity,1,4,2,142,7,1,0
12479,2011-11-28 13:26:00,1,527.2,10.0,000,New/Low Activity,1,4,3,143,8,1,0
12480,2011-11-11 14:52:00,4,3281.63,27.0,001,At Risk - High Value,2,2,1,221,5,1,0
12481,2011-11-17 08:29:00,10,5596.32,22.0,011,High Value,2,1,1,211,4,1,0
12483,2011-11-22 17:02:00,8,2484.98,16.0,011,High Value,1,1,1,111,3,1,0
12484,2011-11-07 11:37:00,6,4541.72,32.0,011,High Value,2,1,1,211,4,1,0
12488,2011-11-30 08:50:00,3,1298.66,9.0,000,New/Low Activity,1,2,2,122,5,1,0
12489,2011-01-07 13:13:00,1,334.93,335.0,100,Hibernating,4,4,3,443,11,0,0
12490,2011-12-04 16:07:00,10,5417.93,4.0,011,High Value,1,1,1,111,3,1,0
12491,2011-11-01 12:18:00,1,460.40000000000003,38.0,000,New/Low Activity,2,4,3,243,9,1,0
12492,2011-10-07 15:15:00,2,263.21000000000004,62.0,000,New/Low Activity,3,3,4,334,10,1,0
12493,2011-06-27 10:17:00,2,433.74,165.0,100,Hibernating,4,3,3,433,10,0,0
12494,2011-11-24 09:34:00,7,1246.1000000000001,15.0,010,Regular,1,1,2,112,4,1,0
12497,2011-09-19 12:29:00,1,1043.1,81.0,000,New/Low Activity,3,4,2,342,9,1,0
12498,2011-11-18 12:53:00,3,403.70000000000005,20.0,000,New/Low Activity,2,2,3,223,7,1,0
12500,2011-11-16 16:20:00,11,4257.82,22.0,011,High Value,2,1,1,211,4,1,0
12501,2011-01-07 12:28:00,1,2169.39,336.0,101,Promising,4,4,1,441,9,0,0
12502,2011-09-05 11:52:00,5,3723.87,95.0,111,Loyal,3,2,1,321,6,1,0
12504,2011-11-21 16:02:00,2,482.04999999999995,17.0,000,New/Low Activity,1,3,3,133,7,1,0
12506,2011-04-21 08:54:00,1,73.5,232.0,100,Hibernating,4,4,4,444,12,0,0
12507,2011-07-28 17:09:00,3,1304.81,133.0,100,Hibernating,3,2,2,322,7,1,0
12508,2011-11-13 15:37:00,2,398.27,25.0,000,New/Low Activity,2,3,3,233,8,1,0
12509,2011-02-28 14:45:00,1,176.5,283.0,100,Hibernating,4,4,4,444,12,0,0
12510,2011-07-20 10:15:00,2,982.5699999999999,142.0,100,Hibernating,4,3,2,432,9,0,0
12512,2011-10-04 14:55:00,2,138.03,65.0,000,New/Low Activity,3,3,4,334,10,1,0
12513,2011-08-19 10:51:00,1,612.29,112.0,100,Hibernating,3,4,3,343,10,1,0
12514,2011-03-17 16:38:00,1,1017.68,266.0,100,Hibernating,4,4,2,442,10,0,0
12515,2010-12-21 15:43:00,1,383.7,352.0,100,Hibernating,4,4,3,443,11,0,0
12516,2011-09-23 09:13:00,2,1312.06,77.0,000,New/Low Activity,3,3,2,332,8,1,0
12517,2011-11-11 14:04:00,5,2502.84,27.0,011,High Value,2,2,1,221,5,1,0
12518,2011-12-09 10:13:00,5,2056.89,0.0,011,High Value,1,2,1,121,4,1,0
12519,2011-10-07 09:26:00,1,340.84,63.0,000,New/Low Activity,3,4,3,343,10,1,0
12520,2011-09-21 15:23:00,5,2634.26,78.0,011,High Value,3,2,1,321,6,1,0
12521,2011-07-20 10:51:00,1,599.68,142.0,100,Hibernating,4,4,3,443,11,0,0
12522,2011-10-31 15:30:00,2,192.72,38.0,000,New/Low Activity,2,3,4,234,9,1,0
12523,2011-11-20 12:55:00,11,1789.77,18.0,010,Regular,2,1,1,211,4,1,0
12524,2011-11-30 15:31:00,8,4485.72,8.0,011,High Value,1,1,1,111,3,1,0
12526,2011-12-09 12:09:00,3,1316.66,0.0,000,New/Low Activity,1,2,2,122,5,1,0
12527,2011-09-19 11:55:00,3,348.71000000000004,81.0,000,New/Low Activity,3,2,3,323,8,1,0
12528,2011-11-30 14:40:00,6,1933.48,8.0,010,Regular,1,1,1,111,3,1,0
12530,2011-10-11 12:34:00,4,1662.28,59.0,000,New/Low Activity,3,2,1,321,6,1,0
12531,2011-11-25 11:12:00,1,125.22,14.0,000,New/Low Activity,1,4,4,144,9,1,0
12532,2011-11-09 13:47:00,1,349.83000000000004,29.0,000,New/Low Activity,2,4,3,243,9,1,0
12534,2011-08-01 10:26:00,1,1089.18,130.0,100,Hibernating,3,4,2,342,9,1,0
12535,2011-09-09 08:48:00,2,716.35,91.0,000,New/Low Activity,3,3,2,332,8,1,0
12536,2011-10-27 14:20:00,3,12601.830000000002,42.0,001,At Risk - High Value,2,2,1,221,5,1,-1
12538,2011-11-10 17:16:00,1,363.95,28.0,000,New/Low Activity,2,4,3,243,9,1,0
12539,2011-11-17 13:30:00,4,5568.35,21.0,001,At Risk - High Value,2,2,1,221,5,1,0
12540,2011-11-20 11:31:00,17,13400.24,19.0,011,High Value,2,1,1,211,4,1,-1
12541,2011-11-10 10:40:00,3,981.18,29.0,000,New/Low Activity,2,2,2,222,6,1,0
12544,2011-11-03 16:15:00,1,372.7,35.0,000,New/Low Activity,2,4,3,243,9,1,0
12545,2011-09-25 13:39:00,2,1000.39,74.0,000,New/Low Activity,3,3,2,332,8,1,0
12546,2011-10-24 12:09:00,2,1161.5,46.0,000,New/Low Activity,2,3,2,232,7,1,0
12547,2011-05-26 12:38:00,2,207.79999999999998,197.0,100,Hibernating,4,3,4,434,11,0,0
12548,2011-06-26 15:35:00,1,95.19999999999999,165.0,100,Hibernating,4,4,4,444,12,0,0
12550,2011-09-21 14:35:00,1,964.83,78.0,000,New/Low Activity,3,4,2,342,9,1,0
12551,2010-12-17 11:23:00,1,168.0,357.0,100,Hibernating,4,4,4,444,12,0,0
12552,2011-11-01 10:02:00,2,437.82,38.0,000,New/Low Activity,2,3,3,233,8,1,0
12553,2011-12-01 16:38:00,10,3692.28,7.0,011,High Value,1,1,1,111,3,1,0
12556,2011-10-20 13:06:00,2,603.71,49.0,000,New/Low Activity,2,3,3,233,8,1,0
12557,2011-11-23 16:59:00,5,11990.960000000001,15.0,011,High Value,1,2,1,121,4,1,-1
12558,2011-12-02 10:41:00,1,269.96,7.0,000,New/Low Activity,1,4,4,144,9,1,0
12559,2011-02-02 09:49:00,2,561.71,310.0,100,Hibernating,4,3,3,433,10,0,0
12560,2011-12-04 13:54:00,3,2134.01,4.0,001,At Risk - High Value,1,2,1,121,4,1,0
12561,2011-02-10 11:39:00,1,238.85,302.0,100,Hibernating,4,4,4,444,12,0,0
12562,2011-12-01 17:20:00,7,3781.7400000000002,7.0,011,High Value,1,1,1,111,3,1,0
12564,2011-03-23 14:55:00,1,456.9,260.0,100,Hibernating,4,4,3,443,11,0,0
12565,2011-02-24 10:34:00,1,145.92,288.0,100,Hibernating,4,4,4,444,12,0,0
12566,2011-09-14 14:30:00,1,351.65,85.0,000,New/Low Activity,3,4,3,343,10,1,0
12567,2011-11-17 11:02:00,10,9401.28,22.0,011,High Value,2,1,1,211,4,1,-1
12569,2011-12-07 16:24:00,32,4124.69,1.0,011,High Value,1,1,1,111,3,1,-1
12571,2011-10-31 10:19:00,2,519.61,39.0,000,New/Low Activity,2,3,3,233,8,1,0
12572,2011-12-01 09:20:00,2,1020.42,8.0,000,New/Low Activity,1,3,2,132,6,1,0
12573,2011-04-26 15:52:00,1,160.54000000000002,226.0,100,Hibernating,4,4,4,444,12,0,0
12574,2011-01-28 09:20:00,1,218.45,315.0,100,Hibernating,4,4,4,444,12,0,0
12576,2011-11-04 10:11:00,5,1315.83,35.0,010,Regular,2,2,2,222,6,1,0
12577,2011-11-04 13:24:00,3,657.8,34.0,000,New/Low Activity,2,2,3,223,7,1,0
12578,2011-11-18 13:30:00,2,2794.51,20.0,001,At Risk - High Value,2,3,1,231,6,1,0
12579,2011-09-22 17:15:00,1,440.42,77.0,000,New/Low Activity,3,4,3,343,10,1,0
12580,2011-04-07 10:24:00,1,415.7,246.0,100,Hibernating,4,4,3,443,11,0,0
12581,2011-10-31 08:56:00,1,197.71,39.0,000,New/Low Activity,2,4,4,244,10,1,0
12582,2011-04-15 08:45:00,2,511.36,238.0,100,Hibernating,4,3,3,433,10,0,0
12583,2011-12-07 08:07:00,15,7281.38,2.0,011,High Value,1,1,1,111,3,1,0
12584,2011-12-06 09:35:00,9,2338.15,3.0,011,High Value,1,1,1,111,3,1,0
12585,2011-04-19 13:39:00,2,2040.1,233.0,100,Hibernating,4,3,1,431,8,0,0
12586,2011-11-22 16:24:00,1,196.94000000000003,16.0,000,New/Low Activity,1,4,4,144,9,1,0
12587,2011-12-02 12:47:00,1,144.0,7.0,000,New/Low Activity,1,4,4,144,9,1,0
12588,2011-10-31 15:01:00,1,214.89999999999998,38.0,000,New/Low Activity,2,4,4,244,10,1,0
12589,2011-11-11 10:19:00,2,646.68,28.0,000,New/Low Activity,2,3,3,233,8,1,0
12590,2011-05-12 14:52:00,2,9864.26,210.0,101,Promising,4,3,1,431,8,0,-1
12591,2011-01-26 14:35:00,1,452.84999999999997,316.0,100,Hibernating,4,4,3,443,11,0,0
12592,2011-09-08 15:04:00,2,437.6,91.0,000,New/Low Activity,3,3,3,333,9,1,0
12593,2011-08-23 12:43:00,3,418.09999999999997,108.0,100,Hibernating,3,2,3,323,8,1,0
12594,2011-11-02 12:20:00,10,3338.2200000000003,37.0,011,High Value,2,1,1,211,4,1,0
12596,2011-10-19 13:02:00,2,618.27,50.0,000,New/Low Activity,2,3,3,233,8,1,0
12597,2011-11-20 13:33:00,4,3811.22,18.0,001,At Risk - High Value,2,2,1,221,5,1,0
12598,2011-11-30 12:18:00,8,3023.08,9.0,011,High Value,1,1,1,111,3,1,0
12599,2011-11-10 13:34:00,7,1032.58,28.0,010,Regular,2,1,2,212,5,1,0
12600,2011-11-11 10:29:00,10,2599.04,28.0,011,High Value,2,1,1,211,4,1,0
12601,2011-06-03 10:17:00,5,577.0600000000001,189.0,110,Potential Loyalist,4,2,3,423,9,0,0
12602,2011-10-12 11:22:00,1,153.12,58.0,000,New/Low Activity,3,4,4,344,11,1,0
12603,2011-11-18 10:42:00,1,739.1999999999999,21.0,000,New/Low Activity,2,4,2,242,8,1,0
12604,2011-09-21 14:08:00,2,254.18,78.0,000,New/Low Activity,3,3,4,334,10,1,0
12607,2011-10-10 16:06:00,1,1579.51,59.0,000,New/Low Activity,3,4,2,342,9,1,0
12609,2011-09-22 16:34:00,3,1126.85,77.0,000,New/Low Activity,3,2,2,322,7,1,0
12610,2011-11-17 09:34:00,5,2099.54,22.0,011,High Value,2,2,1,221,5,1,0
12611,2011-10-18 13:12:00,1,1193.32,51.0,000,New/Low Activity,3,4,2,342,9,1,0
12612,2011-09-26 15:35:00,1,704.0400000000001,73.0,000,New/Low Activity,3,4,2,342,9,1,0
12613,2011-10-13 14:59:00,5,3344.38,56.0,011,High Value,3,2,1,321,6,1,0
12614,2011-03-07 10:22:00,1,315.6,277.0,100,Hibernating,4,4,3,443,11,0,0
12615,2011-12-07 15:02:00,4,2291.19,1.0,001,At Risk - High Value,1,2,1,121,4,1,0
12616,2011-09-05 15:17:00,2,713.3,94.0,100,Hibernating,3,3,2,332,8,1,0
12617,2011-11-10 14:39:00,1,355.53,28.0,000,New/Low Activity,2,4,3,243,9,1,0
12618,2011-11-18 11:10:00,1,177.31,21.0,000,New/Low Activity,2,4,4,244,10,1,0
12619,2011-11-23 14:52:00,9,3641.24,15.0,011,High Value,1,1,1,111,3,1,0
12620,2011-11-25 10:20:00,3,1339.41,14.0,000,New/Low Activity,1,2,2,122,5,1,0
12621,2011-12-08 11:25:00,20,13689.67,1.0,011,High Value,1,1,1,111,3,1,-1
12622,2011-04-21 16:39:00,1,180.1,231.0,100,Hibernating,4,4,4,444,12,0,0
12623,2011-03-08 13:50:00,1,305.1,275.0,100,Hibernating,4,4,4,444,12,0,0
12624,2011-08-25 15:04:00,2,641.13,105.0,100,Hibernating,3,3,3,333,9,1,0
12625,2011-05-12 09:54:00,2,2683.82,211.0,101,Promising,4,3,1,431,8,0,0
12626,2011-11-16 16:06:00,9,6620.48,22.0,011,High Value,2,1,1,211,4,1,0
12627,2011-11-29 12:07:00,7,4478.53,10.0,011,High Value,1,1,1,111,3,1,0
12628,2011-12-05 13:15:00,3,786.46,3.0,000,New/Low Activity,1,2,2,122,5,1,0
12630,2011-11-30 10:48:00,2,1270.88,9.0,000,New/Low Activity,1,3,2,132,6,1,0
12631,2011-10-13 13:53:00,1,640.5,56.0,000,New/Low Activity,3,4,3,343,10,1,0
12633,2011-10-12 11:40:00,4,2163.98,58.0,001,At Risk - High Value,3,2,1,321,6,1,0
12635,2011-09-11 11:04:00,2,1689.18,89.0,000,New/Low Activity,3,3,1,331,7,1,0
12637,2011-10-03 13:46:00,8,6021.9,66.0,011,High Value,3,1,1,311,5,1,-1
12638,2011-11-06 13:11:00,1,671.69,32.0,000,New/Low Activity,2,4,3,243,9,1,0
12639,2011-04-15 12:48:00,1,486.1,238.0,100,Hibernating,4,4,3,443,11,0,0
12640,2011-11-16 11:52:00,3,1174.58,23.0,000,New/Low Activity,2,2,2,222,6,1,0
12641,2011-08-16 13:26:00,1,185.9,114.0,100,Hibernating,3,4,4,344,11,1,0
12642,2011-11-14 15:03:00,3,1013.26,24.0,000,New/Low Activity,2,2,2,222,6,1,0
12643,2011-08-03 12:56:00,6,3344.64,127.0,111,Loyal,3,1,1,311,5,1,0
12644,2011-08-02 10:33:00,1,477.91,129.0,100,Hibernating,3,4,3,343,10,1,0
12645,2011-11-06 12:38:00,4,1775.18,33.0,000,New/Low Activity,2,2,1,221,5,1,0
12646,2011-12-05 10:14:00,2,1346.97,4.0,000,New/Low Activity,1,3,2,132,6,1,0
12647,2011-11-17 12:56:00,12,3722.82,21.0,011,High Value,2,1,1,211,4,1,0
12648,2011-07-08 11:55:00,1,318.05,154.0,100,Hibernating,4,4,3,443,11,0,0
12649,2011-08-24 14:41:00,3,623.51,106.0,100,Hibernating,3,2,3,323,8,1,0
12650,2011-12-06 16:34:00,1,314.44,2.0,000,New/Low Activity,1,4,3,143,8,1,0
12651,2011-01-09 12:46:00,1,114.0,334.0,100,Hibernating,4,4,4,444,12,0,0
12652,2011-01-12 15:00:00,1,919.98,330.0,100,Hibernating,4,4,2,442,10,0,0
12653,2011-07-14 10:41:00,2,2209.85,148.0,101,Promising,4,3,1,431,8,0,0
12654,2011-11-29 10:10:00,5,601.98,10.0,010,Regular,1,2,3,123,6,1,0
12656,2011-11-22 13:42:00,5,4051.17,16.0,011,High Value,1,2,1,121,4,1,0
12657,2011-11-28 15:47:00,4,1643.18,10.0,000,New/Low Activity,1,2,2,122,5,1,0
12658,2011-11-21 10:22:00,1,686.05,18.0,000,New/Low Activity,2,4,2,242,8,1,0
12659,2011-11-10 11:53:00,1,91.68,29.0,000,New/Low Activity,2,4,4,244,10,1,0
12660,2011-11-28 13:26:00,1,245.1,10.0,000,New/Low Activity,1,4,4,144,9,1,0
12662,2011-12-09 11:59:00,11,3849.78,0.0,011,High Value,1,1,1,111,3,1,0
12664,2011-12-01 17:07:00,9,4881.88,7.0,011,High Value,1,1,1,111,3,1,0
12665,2011-01-19 08:34:00,1,63.0,324.0,100,Hibernating,4,4,4,444,12,0,0
12667,2011-10-12 17:00:00,1,620.13,57.0,000,New/Low Activity,3,4,3,343,10,1,0
12668,2011-11-28 10:56:00,4,3807.15,11.0,001,At Risk - High Value,1,2,1,121,4,1,0
12669,2011-07-12 09:54:00,3,2744.0299999999997,150.0,101,Promising,4,2,1,421,7,0,0
